nm0000380,Robert Duvall,average,true,1971-01-01,1971-12-31
nm0000380,Robert Duvall,good,true,1972-01-01,1972-12-31
nm0000380,Robert Duvall,bad,true,1973-01-01,1973-12-31
nm0000380,Robert Duvall,star,true,1974-01-01,1974-12-31
nm0000380,Robert Duvall,average,true,1975-01-01,1975-12-31
nm0000380,Robert Duvall,good,true,1976-01-01,1976-12-31
nm0000380,Robert Duvall,bad,true,1977-01-01,1977-12-31
nm0000380,Robert Duvall,average,true,1978-01-01,1978-12-31
nm0000380,Robert Duvall,good,true,1979-01-01,1980-12-31
nm0000380,Robert Duvall,bad,true,1981-01-01,1982-12-31
nm0000380,Robert Duvall,good,true,1983-01-01,1984-12-31
nm0000380,Robert Duvall,average,true,1985-01-01,1985-12-31
nm0000380,Robert Duvall,bad,true,1986-01-01,1987-12-31
nm0000380,Robert Duvall,average,true,1988-01-01,1989-12-31
nm0000380,Robert Duvall,bad,true,1990-01-01,1990-12-31
nm0000380,Robert Duvall,average,true,1991-01-01,1992-12-31
nm0000380,Robert Duvall,good,true,1993-01-01,1993-12-31
nm0000380,Robert Duvall,average,true,1994-01-01,1994-12-31
nm0000380,Robert Duvall,bad,true,1995-01-01,1995-12-31
nm0000380,Robert Duvall,good,true,1996-01-01,1997-12-31
nm0000380,Robert Duvall,average,true,1998-01-01,2002-12-31
nm0000380,Robert Duvall,good,true,2003-01-01,2004-12-31
nm0000380,Robert Duvall,average,true,2005-01-01,2007-12-31
nm0000380,Robert Duvall,bad,true,2008-01-01,2008-12-31
nm0000380,Robert Duvall,good,true,2009-01-01,2010-12-31
nm0000380,Robert Duvall,average,true,2011-01-01,2012-12-31
nm0000380,Robert Duvall,bad,true,2013-01-01,2013-12-31
nm0000380,Robert Duvall,good,true,2014-01-01,2014-12-31
nm0000380,Robert Duvall,bad,true,2015-01-01,2015-12-31
nm0000380,Robert Duvall,average,true,2016-01-01,2016-12-31
